"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что с неверным паролем запрос возвращает ошибку","83","Логин с неправильным паролем","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"Проверка, что с неверным логином запрос возвращает ошибку","70","Логин с неправильным логином","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"Проверка, что курьера можно создать с валидными данными","259","Успешное создание курьера","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"Проверка, что без логина запрос возвращает ошибку","77","Логин без логина","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"Проверка, что без пароля запрос возвращает ошибку","82","Логин без пароля","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"","249","Создание курьера без firstName — успешно","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"Проверка, что курьер может авторизоваться с валидными данными","90","Успешный логин курьера","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"","59","Создание курьера без поля login","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"Проверка, что нельзя создать курьера с логином, который уже есть в системе","345","Создание курьера с существующим логином","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"","165","Создание заказа с цветом ['GREY']","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_create_order","",""
"","60","Создание курьера без поля password","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"Проверка, что авторизация под несуществующим пользователем возвращает ошибку","62","Логин несуществующего курьера","tests","2026-02-26","passed","2026-02-26","TestLoginCourier","test_login_courier","",""
"","136","Создание заказа с цветом ['BLACK']","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_create_order","",""
"","168","Создание заказа с цветом []","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_create_order","",""
"Проверка, что повторное создание курьера с теми же данными возвращает ошибку","352","Нельзя создать двух одинаковых курьеров","tests","2026-02-26","passed","2026-02-26","TestCreateCourier","test_courier_create","",""
"","160","Создание заказа с цветом ['BLACK', 'GREY']","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_create_order","",""
